2025-09-05 13:53:39 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:42 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:46 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:49 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:52 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:55 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 6 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:53:56 | ERROR    | __main__             | main            | ❌ Fatal error: Connection to Telegram failed 5 time(s)
2025-09-05 13:53:56 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 13:56:36 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:56:36 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:56:36 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:56:39 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:56:44 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.05 MB/s
2025-09-05 13:56:44 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:56:44 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:56:44 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:56:44 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:56:44 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:56:46 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:56:50 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:56:53 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:57:39 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:57:39 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:57:39 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:57:43 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:57:49 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.02 MB/s
2025-09-05 13:57:49 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:57:49 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:57:49 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:57:49 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:57:49 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:57:52 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:57:55 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:22 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:58:22 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:58:22 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:58:23 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:58:29 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.03 MB/s
2025-09-05 13:58:29 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:58:29 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:58:29 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:58:29 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:58:29 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:58:32 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:35 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:38 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 3 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:42 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 4 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:45 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 5 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:48 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 6 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:58:49 | ERROR    | __main__             | main            | ❌ Fatal error: Connection to Telegram failed 5 time(s)
2025-09-05 13:58:49 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 13:59:22 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 13:59:22 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 13:59:22 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 13:59:26 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 13:59:34 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.02 MB/s
2025-09-05 13:59:34 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 13:59:34 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:59:34 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 13:59:34 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 13:59:34 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 13:59:36 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 1 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:59:39 | WARNING  | telethon.network.mtprotosender | _try_connect    | Attempt 2 at connecting failed: ConnectionRefusedError: [WinError 1225] The remote computer refused the network connection
2025-09-05 13:59:41 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 14:32:14 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 14:32:14 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 14:32:14 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 14:32:18 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
2025-09-05 14:32:21 | INFO     | utils.network        | test_download_speed | 📊 Download speed: 0.05 MB/s
2025-09-05 14:32:21 | INFO     | utils.network        | comprehensive_network_test | ✅ Network tests passed
2025-09-05 14:32:21 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 14:32:21 | INFO     | services.session_manager | initialize      | 🔄 Initializing Session Manager...
2025-09-05 14:32:21 | INFO     | services.session_manager | initialize      | ✅ Session Manager initialized with 0 sessions
2025-09-05 14:32:21 | INFO     | utils.database       | _init_db        | ✅ Database initialized successfully
2025-09-05 14:32:28 | INFO     | handlers.bot_handlers | setup_bot       | ✅ Bot client started successfully
2025-09-05 14:32:28 | INFO     | __main__             | main            | ✅ Bot started successfully!
2025-09-05 14:32:28 | INFO     | __main__             | main            | 📊 Active sessions: 0
2025-09-05 14:32:37 | INFO     | handlers.bot_handlers | start_handler   | User 79049016 started the bot
2025-09-05 14:32:47 | ERROR    | telethon.client.updates | _dispatch_update | Unhandled exception on url_handler
Traceback (most recent call last):
  File "C:\Users\speedster\AppData\Local\Programs\Python\Python313\Lib\site-packages\telethon\client\updates.py", line 570, in _dispatch_update
    await callback(event)
  File "D:\laptop\React-Project\Srv-youtube\amir\handlers\bot_handlers.py", line 177, in url_handler
    if not await self.rate_limiter.check_rate_limit(user.id):
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'RateLimiter' object has no attribute 'check_rate_limit'
2025-09-05 14:33:27 | INFO     | handlers.bot_handlers | start_handler   | User 79049016 started the bot
2025-09-05 14:33:29 | ERROR    | telethon.client.updates | _dispatch_update | Unhandled exception on url_handler
Traceback (most recent call last):
  File "C:\Users\speedster\AppData\Local\Programs\Python\Python313\Lib\site-packages\telethon\client\updates.py", line 570, in _dispatch_update
    await callback(event)
  File "D:\laptop\React-Project\Srv-youtube\amir\handlers\bot_handlers.py", line 177, in url_handler
    if not await self.rate_limiter.check_rate_limit(user.id):
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'RateLimiter' object has no attribute 'check_rate_limit'
2025-09-05 14:35:05 | INFO     | __main__             | main            | 🛑 Bot shutting down...
2025-09-05 14:35:08 | INFO     | root                 | _setup_logging  | ✅ Logging system initialized
2025-09-05 14:35:08 | INFO     | __main__             | main            | 🚀 Starting Telegram Bot with Userbot support...
2025-09-05 14:35:08 | INFO     | utils.network        | comprehensive_network_test | 🔍 Starting comprehensive network test...
2025-09-05 14:35:10 | INFO     | utils.network        | test_internet_connection | ✅ Internet connection is working
